
Buque  ; marea  ; lan ; fecha ; latitud ; longitud
GEMINIS              ;   3 ;  65 ; 27/01/2023  ;         -47,1500 ;         -62,2167 ; X
GEMINIS              ;   3 ;  66 ; 27/01/2023  ;         -47,1500 ;         -61,9167 ; X
GEMINIS              ;   3 ;  67 ; 28/01/2023  ;         -47,1500 ;         -62,4483 ; X
GEMINIS              ;   3 ;  68 ; 28/01/2023  ;         -47,1500 ;         -61,9500 ; X
GEMINIS              ;   3 ;  69 ; 28/01/2023  ;         -47,1500 ;         -62,3167 ; X
GEMINIS              ;   3 ;  70 ; 29/01/2023  ;         -47,1500 ;         -62,3667 ; X
GEMINIS              ;   3 ;  71 ; 29/01/2023  ;         -47,1500 ;         -61,9167 ; X
GEMINIS              ;   3 ;  72 ; 29/01/2023  ;         -47,1500 ;         -62,3000 ; X
GEMINIS              ;   3 ;  73 ; 30/01/2023  ;         -47,1500 ;         -62,4000 ; X
GEMINIS              ;   3 ;  74 ; 30/01/2023  ;         -47,1500 ;         -61,9167 ; X
GEMINIS              ;   3 ;  75 ; 30/01/2023  ;         -47,1583 ;         -62,3000 ; X
GEMINIS              ;   3 ;  76 ; 31/01/2023  ;         -47,1500 ;         -62,3833 ; X
GEMINIS              ;   3 ;  77 ; 31/01/2023  ;         -47,1667 ;         -61,9000 ; X
GEMINIS              ;   3 ;  78 ; 31/01/2023  ;         -47,2500 ;         -62,2917 ; X
GEMINIS              ;   3 ;  79 ; 01/02/2023  ;         -47,3333 ;         -62,2667 ; X
GEMINIS              ;   3 ;  80 ; 01/02/2023  ;         -47,1500 ;         -61,8833 ; X
GEMINIS              ;   3 ;  81 ; 01/02/2023  ;         -47,1517 ;         -61,8533 ; X
GEMINIS              ;   3 ;  82 ; 02/02/2023  ;         -47,1583 ;         -62,3000 ; X
GEMINIS              ;   3 ;  83 ; 02/02/2023  ;         -47,1333 ;         -61,8500 ; X
GEMINIS              ;   3 ;  84 ; 02/02/2023  ;         -47,2500 ;         -62,0167 ; X
GEMINIS              ;   3 ;  85 ; 03/02/2023  ;         -47,1500 ;         -62,2683 ; X
GEMINIS              ;   3 ;  86 ; 03/02/2023  ;         -47,1700 ;         -61,8350 ; X
GEMINIS              ;   3 ;  87 ; 03/02/2023  ;         -47,1833 ;         -62,1983 ; X
GEMINIS              ;   3 ;  88 ; 04/02/2023  ;         -46,8333 ;         -61,7950 ; X
GEMINIS              ;   3 ;  89 ; 04/02/2023  ;         -47,1500 ;         -61,8667 ; X
GEMINIS              ;   3 ;  90 ; 04/02/2023  ;         -47,1333 ;         -62,1167 ; X
GEMINIS              ;   3 ;  91 ; 05/02/2023  ;         -45,4500 ;         -60,1833 ; X
GEMINIS              ;   3 ;  92 ; 05/02/2023  ;         -45,1350 ;         -60,4500 ; X
GEMINIS              ;   3 ;  93 ; 05/02/2023  ;         -45,0000 ;         -60,5000 ; X
GEMINIS              ;   3 ;  94 ; 06/02/2023  ;         -46,8167 ;         -61,8333 ; X
