"latitud","longitud"
-39.03,-58.38
-39.3,-58.57
-39.18,-58.77
-39.38,-58.6
-39.05,-58.38
-39.1,-58.4
-39.4,-58.3
-39.4,-58.23
-39.42,-58.3
-38.82,-58.13
-38.43,-57.38
-38.43,-57.38
-38.25,-57.05
-38.22,-57.05
-38.52,-57.58
-38.22,-57.03
-37.95,-56.72
-37.93,-56.72
-38.07,-56.8
-38.15,-56.88
-38.17,-56.88
-38.23,-57.07
-38.43,-57.42
-38.63,-57.77
-38.6,-57.68
-38.6,-57.77
-38.53,-57.52
-39.65,-57.73
-38.72,-57.9
-38.53,-57.48
-38.57,-57.37
-38.33,-57.2
-38.22,-57.02
-38.28,-57.08
-38.53,-57.38
-38.47,-57.45
-38.45,-57.43
-39.92,-59.26
-39.66,-59.17
-39.55,-58.96
-39.68,-59.13
-38.42,-57.37
-38.7,-57.77
-38.68,-47.77
-38.67,-57.73
-38.43,-57.32
-38.65,-57.58
-38.75,-57.82
-38.73,-57.72
-38.48,-57.32
-38.73,-57.75
-38.73,-57.75
-38.92,-58.12
-39.02,-58.27
-39.08,-58.35
-39.08,-58.35
-39.37,-59.28
-39.43,-59.32
-39.42,-59.32
-39.32,-57.2
-39.35,-59.25
-39.37,-59.3
-39.65,-59.47
-38.95,-58.23
-38.78,-58.17
-36.63,-53.4
-36.63,-53.35
-38.82,-58.15
-38.78,-58.12
-36.65,-53.4
-36.67,-53.27
-36.82,-53.28
-36.82,-53.3
-38.8,-53.3
-36.68,-53.17
-38.77,-58.15
-36.68,-53.27
-36.77,-53.82
-36.8,-53.9
-36.8,-53.8
-36.8,-53.53
-36.82,-53.4
-39,-58.45
-36.83,-53.43
-36.8,-53.32
-39.05,-58.48
-37.12,-53.52
-37.15,-53.5
-37.22,-53.35
-37.23,-53.35
-37.17,-53.38
-37.23,-53.33
-37.17,-53.43
-37.17,-53.42
-39.05,-58.47
-37.92,-54.07
-37.97,-54.08
-37.97,-54
-38.03,-53.9
-37.98,-54
-37.93,-54.07
-37.92,-54.17
-37.97,-54.1
-39.75,-55.8
-39.75,-55.78
-39.76,-55.77
-39.77,-55.74
-39.82,-55.71
-39.79,-55.7
-39.75,-55.66
-39.72,-55.62
-39.69,-55.6
-39.25,-59.02
-38.03,-53.9
-37.97,-54.02
-37.95,-54.03
-37.95,-54.07
-37.85,-54
-37.98,-53.45
-37.92,-53.08
-39.65,-55.56
-39.62,-55.51
-39.59,-55.45
-39.54,-55.42
-39.51,-55.43
-39.47,-55.47
-39.35,-59.28
-37.97,-54.02
-37.88,-54.18
-37.92,-54.13
-37.9,-54.07
-39.26,-55.02
-39.24,-54.99
-39.23,-54.96
-39.23,-54.98
-39.21,-54.99
-39.19,-54.99
-39.15,-55
-39.16,-55.02
-38.68,-54.02
-38.78,-54.03
-38.8,-54.05
-38.63,-54.85
-38.62,-54.92
-38.6,-54.83
-38.57,-54.93
-38.57,-54.93
-39.33,-59.23
-37.87,-54
-37.98,-54
-37.97,-54.08
-37.92,-54.08
-37.95,-54.03
-37.61,-53.72
-37.6,-53.69
-37.61,-53.68
-37.57,-53.6
-37.59,-53.67
-37.59,-53.66
-38.55,-54.83
-38.55,-54.9
-38.53,-54.7
-38.52,-54.85
-38.52,-54.75
-39.4,-59.28
-37.93,-54.12
-37.85,-54
-37.98,-54
-37.93,-54.05
-37.93,-54.08
-37.87,-54.08
-37.57,-53.57
-37.58,-53.67
-37.57,-53.62
-37.62,-53.67
-37.22,-53.35
-37.23,-53.5
-37.32,-53.33
-37.2,-53.37
-37.2,-53.42
-37.18,-53.43
-39.52,-59.4
-37.93,-54.12
-37.85,-54
-37.95,-54
-37.93,-54.1
-37.93,-54.07
-37.59,-53.56
-37.59,-53.57
-37.63,-53.67
-37.63,-53.7
-37.64,-53.65
-37.59,-53.58
-37.59,-53.59
-37.2,-53.45
-37.18,-53.43
-37.2,-53.43
-37.25,-53.4
-38,-53.08
-38.9,-54.28
-37.87,-54.3
-37.85,-54.27
-37.62,-53.69
-37.64,-53.66
-37.63,-53.67
-37.59,-53.58
-37.59,-53.59
-37.62,-53.69
-37.23,-53.38
-37.18,-53.57
-37.18,-53.6
-37.2,-53.43
-37.82,-53.72
-37.78,-53.68
-37.85,-53.8
-37.82,-53.78
-38,-54.05
-38,-53.08
-38,-53.12
-38.85,-54.23
-38.88,-53.2
-37.82,-54.03
-38,-54.12
-37.59,-53.67
-37.65,-53.67
-37.59,-53.58
-37.59,-53.59
-37.62,-54.69
-38,-54.08
-38.02,-54.05
-38,-54
