Buque  , marea  , lan , fecha , latitud , longitud
FEDERICO C           ,  156 ,  67 , 17/09/2025  ,         -42.8983 ,         -61.6883 , X
FEDERICO C           ,  156 ,  68 , 17/09/2025  ,         -42.9000 ,         -61.7200 , X
FEDERICO C           ,  156 ,  69 , 17/09/2025  ,         -42.8933 ,         -61.7550 , X
FEDERICO C           ,  156 ,  70 , 17/09/2025  ,         -42.9000 ,         -61.7617 , X
FEDERICO C           ,  156 ,  71 , 17/09/2025  ,         -42.9767 ,         -61.6150 , X
FEDERICO C           ,  156 ,  72 , 18/09/2025  ,         -43.3817 ,         -62.8367 , X
FEDERICO C           ,  156 ,  73 , 18/09/2025  ,         -43.4433 ,         -62.8333 , X
FEDERICO C           ,  156 ,  74 , 18/09/2025  ,         -43.3700 ,         -62.8200 , X
FEDERICO C           ,  156 ,  75 , 18/09/2025  ,         -43.5000 ,         -62.8083 , X
FEDERICO C           ,  156 ,  76 , 18/09/2025  ,         -43.4333 ,         -62.7517 , X
FEDERICO C           ,  156 ,  77 , 18/09/2025  ,         -43.5100 ,         -62.7550 , X
FEDERICO C           ,  156 ,  78 , 19/09/2025  ,         -43.2883 ,         -62.3233 , X
FEDERICO C           ,  156 ,  79 , 19/09/2025  ,         -43.3617 ,         -62.3267 , X
FEDERICO C           ,  156 ,  80 , 19/09/2025  ,         -43.2833 ,         -62.3217 , X
FEDERICO C           ,  156 ,  81 , 19/09/2025  ,         -43.3750 ,         -62.3217 , X
FEDERICO C           ,  156 ,  82 , 19/09/2025  ,         -43.3000 ,         -62.3167 , X
FEDERICO C           ,  156 ,  83 , 19/09/2025  ,         -43.3833 ,         -62.2983 , X
FEDERICO C           ,  156 ,  84 , 19/09/2025  ,         -43.3467 ,         -62.2767 , X
FEDERICO C           ,  156 ,  85 , 20/09/2025  ,         -42.4917 ,         -61.7833 , X
FEDERICO C           ,  156 ,  86 , 20/09/2025  ,         -42.5500 ,         -61.7333 , X
FEDERICO C           ,  156 ,  87 , 20/09/2025  ,         -42.5517 ,         -61.7050 , X
FEDERICO C           ,  156 ,  88 , 20/09/2025  ,         -42.6183 ,         -61.7333 , X
FEDERICO C           ,  156 ,  89 , 20/09/2025  ,         -42.5583 ,         -61.6917 , X
FEDERICO C           ,  156 ,  90 , 20/09/2025  ,         -42.5533 ,         -61.7650 , X
FEDERICO C           ,  156 ,  91 , 21/09/2025  ,         -40.9833 ,         -61.0667 , X
FEDERICO C           ,  156 ,  92 , 21/09/2025  ,         -40.9517 ,         -60.9683 , X
FEDERICO C           ,  156 ,  93 , 21/09/2025  ,         -41.3933 ,         -61.0900 , X
FEDERICO C           ,  156 ,  94 , 21/09/2025  ,         -41.3800 ,         -61.1017 , X
FEDERICO C           ,  156 ,  95 , 21/09/2025  ,         -41.3667 ,         -61.0750 , X
FEDERICO C           ,  156 ,  96 , 21/09/2025  ,         -41.3567 ,         -61.0817 , X
FEDERICO C           ,  156 ,  97 , 22/09/2025  ,         -42.0367 ,         -61.1650 , X
FEDERICO C           ,  156 ,  98 , 22/09/2025  ,         -42.0350 ,         -61.1517 , X
FEDERICO C           ,  156 ,  99 , 24/09/2025  ,         -42.0000 ,         -61.0833 , X
FEDERICO C           ,  156 ,  100 , 24/09/2025  ,         -42.0667 ,         -61.2833 , X
FEDERICO C           ,  156 ,  101 , 24/09/2025  ,         -42.2017 ,         -61.8833 , X
FEDERICO C           ,  156 ,  102 , 24/09/2025  ,         -42.1833 ,         -61.9283 , X
FEDERICO C           ,  156 ,  103 , 27/09/2025  ,         -45.1033 ,         -63.5050 , X
FEDERICO C           ,  156 ,  104 , 27/09/2025  ,         -45.1867 ,         -63.5017 , X
FEDERICO C           ,  156 ,  105 , 27/09/2025  ,         -45.2700 ,         -63.4950 , X
FEDERICO C           ,  156 ,  106 , 27/09/2025  ,         -45.3450 ,         -63.4367 , X
FEDERICO C           ,  156 ,  107 , 28/09/2025  ,         -45.3833 ,         -63.6350 , X
FEDERICO C           ,  156 ,  108 , 28/09/2025  ,         -45.4450 ,         -63.6450 , X
